text,label,label_name,source,emotion
저는 갈림길에 서 있습니다. 대학에서 전공을 결정하려고 합니다.,1,positive,kor_empathetic,trusting
"응, 내년에 또 더 많은 경기를 보자!",0,normal,gf_persona_user,
친한 친구가 제 물건을 훔쳐서 속상해요!,2,vulnerable,kor_empathetic,disappointed
일요일에는 가족을 위해 할머니의 오래된 레시피를 만드는 것을 좋아합니다.,1,positive,kor_empathetic,sentimental
그래도 승리는 했으니까 다행이네. 이번에 K리그 팀들이 우승하면 좋겠다.,0,normal,gf_persona_user,
신용 카드에 너무 많은 금액을 결제해서 최소 결제 금액도 감당할 수 없습니다. 문제는 아버지의 이름도 카드에 적혀 있다는 것입니다. 기분이 안 좋아요.,2,vulnerable,kor_empathetic,guilty
저는 딸의 학교 공부와 시험을 도와주는 것을 좋아합니다.,1,positive,kor_empathetic,content
이 집에 있는 동안은 내 말대로 해 그게 싫으면 집을 나가던지,3,manipulation,eoh9_gaslighting,
제 조카가 수영을 못하지만 수영장이 있어서 잠시 저희 집에 머물고 있습니다. 조카의 수영 실력이 늘고 자신감이 치솟고 있어요!,1,positive,kor_empathetic,proud
15년 정도 된 낡은 주머니칼을 돌려받았습니다. 제 사촌이 가지고 있었어요.,1,positive,kor_empathetic,sentimental
유령의 집은 정말 소름이 돋아요.,2,vulnerable,kor_empathetic,afraid
제 친구는 작년에 엄청난 장학금을 받았습니다.,1,positive,kor_empathetic,proud
한번은 친구와 술을 마시고 거칠게 놀다가 꼬리뼈가 부러졌어요.,2,vulnerable,kor_empathetic,ashamed
제 생각에는 꽤 괜찮은 아이들이 있는 것 같아요. 아직 말하기는 이르지만요.,1,positive,kor_empathetic,grateful
아들이 너무 빨리 자라서 아들이 어렸을 때가 그리워져 씁쓸해요!,1,positive,kor_empathetic,sentimental
근데 대부분의 사람들이 운동을 해야지 하다가 미루게 되는 것 같아.,0,normal,nlpbada_persona,
내가 나 좋으려고 이러는 줄 아냐 내가 다 같이 생각해서 하는 말이야,3,manipulation,eoh9_gaslighting,
사회가 많이 개인주의로 가면서 그런 점이 꽤나 잊혀졌던 것 같아. 질문 하나 해도 될까?,0,normal,nlpbada_persona,
제가 그렇게 느끼면 안 된다는 걸 알지만 딸이 매장에서 화를 냈을 때 정말 힘들었어요!,2,vulnerable,kor_empathetic,embarrassed
남편과 말다툼을 했는데 나중에 남편이 옳았다는 것을 깨달았지만 사과를 하지 않았어요 :(,2,vulnerable,kor_empathetic,ashamed
개를 잃어버려서 끔찍한 기분이에요.,2,vulnerable,kor_empathetic,guilty
한 주를 시작하려고 합니다. 지난 주말에는 외출을 많이 하지 않고 대신 정원에서 일했습니다. 아주 고요했어요.,1,positive,kor_empathetic,content
"그거 좋지! 자연에서 염색하는 과정도 체험해보고, 다양한 작품들도 보고 싶어.",0,normal,gf_persona_user,
그래서 여름에 여행을 가려고 큰 계획을 세웠는데 계획이 바뀌었습니다. 기말고사 중 하나에서 낙제해서 이번 여름에 다시 수업을 들어야 해요. 제가 그런 일이 일어나도록 내버려 두다니 믿을 수가 없어요.,2,vulnerable,kor_empathetic,devastated
그럼 파이팅해! 멋진 인증샷 기대할게ㅋㅋ.,0,normal,gf_persona_user,
반가워요 반갑구만,0,normal,chatbot_data,
지금 인생이 힘들고 한동안 힘든 시간을 보내고 있는 것 같지만... 저는 여전히 신이 저에게 축복을 주실 것이라는 믿음이 있습니다.,1,positive,kor_empathetic,hopeful
지난 몇 년 동안 외로움을 많이 느꼈어요.,2,vulnerable,kor_empathetic,lonely
헤어진 지 이틀됐네. 붙잡으면 안되겠죠?.,0,normal,chatbot_data,
손님 싫어,0,normal,chatbot_data,
주말에 휴식을 취하고 독서도 좀 했어요. 좋았어요,1,positive,kor_empathetic,content
밖에서 꽃에 물을 주다가 뱀을 봤어요.,2,vulnerable,kor_empathetic,terrified
"나는 아직 고등학생이야. 나는 좋아하는 과목이 지구과학인데, 너는 무슨 과목을 좋아해?",0,normal,nlpbada_persona,
"안녕, 나는 20대 여성이야. 요즘 동료와 왜 사이가 안좋아?",0,normal,nlpbada_persona,
아내가 요즘 스트레스를 많이 받았는데 제가 아내를 돌봐주고 있어요.,1,positive,kor_empathetic,caring
좋아. 내 생일은 5월이야. 다음에 또 대화하자!,0,normal,nlpbada_persona,
어렸을 때 할머니가 작은 도자기 고양이를 주셨어요.,1,positive,kor_empathetic,sentimental
할머니가 아직 살아계셨으면 좋겠어요.,2,vulnerable,kor_empathetic,sad
그냥 영화보러 갈까 생각 중이야. 너는?,0,normal,gf_persona_user,
이별 후 감정,0,normal,chatbot_data,
저는 제 일을 정말 잘해요,1,positive,kor_empathetic,confident
어떤 알바를 해보고 싶어? 나는 아무래도 커피 마시는 것을 좋아하다보니 카페 알바도 해보고 싶어.,0,normal,nlpbada_persona,
오빠에게 개를 돌봐달라고 믿어서는 안된다는 것을 알았습니다.,1,positive,kor_empathetic,trusting
썸 탈 때 무슨 말하지,0,normal,chatbot_data,
"응, 나도 듣긴 했어. 어디서 자주 보던데, 그런 거 먹어보긴 했어?",0,normal,gf_persona_user,
"정말 취미로 하는 거라 잘 치지는 못해. 와, 필라테스 하면 몸이 엄청 탄탄하겠다.",0,normal,nlpbada_persona,
제 아들은 최근 3학년 도약 시험에서 모든 과목에서 '고급' 점수를 받았습니다. 아들이 정말 자랑스럽습니다.,1,positive,kor_empathetic,proud
요즘처럼 불확실한 시기에는 내 머리 위에 지붕이 있다는 사실에 행복해지기 쉽습니다.,1,positive,kor_empathetic,grateful
어제 면접을 봤는데 합격이 확실해요.,1,positive,kor_empathetic,confident
남편이 면접을 앞두고 있는데 꼭 합격하기를 바라고 있습니다.,1,positive,kor_empathetic,anticipating
방금 손가락이 부러졌는데 곧 골프 대회가 있어요.,1,positive,kor_empathetic,hopeful
친구가 저녁 식사에 초대하는 것을 잊어버려서 화가 났어요.,2,vulnerable,kor_empathetic,disappointed
모기지 대출금을 갚기 위해 부모님에게 돈을 빌려야 했습니다. 생계에 어려움을 겪고 있습니다.,2,vulnerable,kor_empathetic,ashamed
제 친구가 교통사고를 당했습니다.,2,vulnerable,kor_empathetic,sad
"오, 하정우는 항상 기대되는 배우지. 어떤 내용인지 알아?",0,normal,gf_persona_user,
부모님이 다음 주에 저를 보러 알래스카에서 비행기로 오세요! 정말 오랜만에 뵙는 거예요.,1,positive,kor_empathetic,excited
제 여자친구는 제가 좋은 친구에서 사귀기로 결정한 후 생각만큼 행복하게 지내고 있는지 항상 걱정합니다. 저는 항상 솔직하고 그녀에게 같은 말을 합니다.,1,positive,kor_empathetic,content
그럼 다행이다. 한 번 시도해봐야겠다!,0,normal,gf_persona_user,
어린 시절이 최고였어요.,1,positive,kor_empathetic,joyful
정말 멋진 한 주를 보내고 있습니다. 여러분은 이번 주를 어떻게 보내셨나요?,1,positive,kor_empathetic,content
"(죄송합니다만 어린이집에 로그인할 수 있는 방법이 있습니다. 안전한지 물어보세요.) 다시 살이 빠지고 있는데 스트레스와 나이, 수술 후유증으로 힘들었습니다. 날씬해진 새로운 부위를 느끼는 것이 너무 좋아요!",2,vulnerable,kor_empathetic,guilty
나무 풀과 이쑤시개 마술이 효과가 있어서 나사를 고정하고 나니 너무 신나고 기뻤어요!,1,positive,kor_empathetic,joyful
만나서 반가워. 나는 청주에서 사는 20대 남자야. 잘 부탁해.,0,normal,nlpbada_persona,
"맞아, 의욕이 넘치더라고. 이러다가 신인왕도 노릴 수 있지 않을까?",0,normal,gf_persona_user,
"얼마 전 정말 배가 고파서 리뷰가 좋은 레스토랑에 가기로 결심했는데, 기대했던 그대로였습니다.",1,positive,kor_empathetic,anticipating
요전 날 밤에 침대에서 몰래 나와서 음식을 먹었어요.,2,vulnerable,kor_empathetic,guilty
곧 이사할 예정이고 떠날 준비가 다 됐어요.,1,positive,kor_empathetic,excited
나는 가을에 나오는 홍옥을 좋아해. 새콤달콤해.,0,normal,nlpbada_persona,
"그치, 그런 거 다 포함돼 있어서 나도 너무 기대돼.",0,normal,gf_persona_user,
"그러면 이번 전시회에서 새로운 사람도 많이 만나고, 패션 아이디어도 나누는 좋은 시간이 되겠네! 고고씽?",0,normal,gf_persona_user,
저는 큰 폭풍이 너무 무서워요.,2,vulnerable,kor_empathetic,anxious
지금 제 인생은 정말 멋져요!,1,positive,kor_empathetic,joyful
올해 일을 많이 했어요.,1,positive,kor_empathetic,impressed
남자친구 카톡 말투가 마음에 안 들어.,0,normal,chatbot_data,
몇 주 후에 절친한 친구를 만나러 뉴욕에 갈 예정이에요.,1,positive,kor_empathetic,excited
얼마 전 마트에서 쇼핑을 하다가 진열대에 부딪혀 와인병을 사방에 쏟았어요. 모두가 쳐다보고 있었죠.,2,vulnerable,kor_empathetic,embarrassed
"이야, 그랬군. G2의 기세가 정말 무서웠네. 그럼 3세트는?",0,normal,gf_persona_user,
엄마의 아들인 저는 엄마가 장시간 집을 비울 때마다 항상 엄마를 그리워했습니다.,2,vulnerable,kor_empathetic,lonely
남자친구가 아파요. 많이 못 먹어서 수프를 만들어 줬어요.,1,positive,kor_empathetic,caring
메이크업도? 뭘 어떻게 해야 할지 모르겠어.,0,normal,gf_persona_user,
여자친구가 교환학생 다녀온대,0,normal,chatbot_data,
친구의 결혼식 조기 항공권을 구할 수 있는지 답변을 기다리는 중입니다.,1,positive,kor_empathetic,anticipating
불안감 때문에 기본적인 일조차도 스스로 하기 힘들어요. 하지만 저에게 좋은 일이 생길 거라고 기대하고 있습니다. 어머니가 아프신 걸 알고 불안에 대해 불평하는 게 미안해요.,1,positive,kor_empathetic,anticipating
적금 들었어,0,normal,chatbot_data,
제 아들이 방금 여자친구와 약혼했어요!,1,positive,kor_empathetic,joyful
스케일 진짜 컸다. 근데 야구 시즌 지나고도 활용할 수 있는 방법이 있대?,0,normal,gf_persona_user,
금요일에 딸이 태어나는데 너무 긴장돼요!,2,vulnerable,kor_empathetic,terrified
멕시칸 음식을 먹어본 지 너무 오래됐어요.,1,positive,kor_empathetic,excited
"사슴고기 웰링턴을 오븐에 넣을 준비가 거의 다 됐어요. 맛있게 나올 것 같아요."".",1,positive,kor_empathetic,hopeful
"안녕, 내가 항상 내 비밀을 말해주는 거 알지?",1,positive,kor_empathetic,trusting
얼마 전 제 페이스북에 제 손과 엄마의 손 사진 한 장이 떠올랐어요. 엄마의 마지막 날에 제가 엄마를 돌보고 있었어요.,1,positive,kor_empathetic,caring
내 근처에 범죄가 너무 많아서 말도 안돼요.,2,vulnerable,kor_empathetic,afraid
저는 말벌이 너무 싫어요. 말벌은 항상 어떻게든 제 집에 들어오는 것 같고 저는 어린 소녀로 변해버렸어요!,2,vulnerable,kor_empathetic,afraid
지금 우리나라가 이렇게 분열되어 있는 게 너무 싫어요.,2,vulnerable,kor_empathetic,sad
다시는 동네 식료품점에 들어가지 않을 것 같아요.,2,vulnerable,kor_empathetic,embarrassed
학교에서 어떤 일을 하는지 알 수 있어서 정말 안심이 되었어요.,2,vulnerable,kor_empathetic,anxious
지붕 수리 견적을 기다리는 중입니다.,2,vulnerable,kor_empathetic,anxious
정말 네가 그린 그림들을 사람들과 공유하는 날이 기대돼. 너의 세계를 많은 사람들과 나누는 거지.,0,normal,gf_persona_user,
남자친구가 갑자기 군대간대,0,normal,chatbot_data,
뭐라는거야 이거 내가 먼저 산 거 아님?,3,manipulation,eoh9_gaslighting,
사랑은 변하지 않았으면,0,normal,chatbot_data,
손자를 안을 수 있다는 사실에 기쁨을 감출 수 없습니다.,1,positive,kor_empathetic,excited
개가 저를 쫓아다니고 있었어요.,2,vulnerable,kor_empathetic,terrified
최근 이전 회사에서 저를 복귀시키고 싶다는 이메일을 받았습니다. 정말 잘 되길 바랐던 일이었죠.,1,positive,kor_empathetic,hopeful
"안녕, 나는 수리과학부가 부전공이야. 하지만 직업은 요리사야.",0,normal,nlpbada_persona,
12월에 출시될 슈퍼 스매시 브라더스 게임이 정말 기대됩니다.,1,positive,kor_empathetic,excited
그런 순간이 많지. 예술 작품을 보면서 깊은 감정에 빠지는 기분이 어떨지 궁금해.,0,normal,gf_persona_user,
"안녕, 8일만이네. 반가워.",0,normal,nlpbada_persona,
친구들이 제 비밀을 지켜줄 때 정말 기분이 좋아요. (적어도 저는 그렇게 생각해요!),1,positive,kor_empathetic,trusting
썸 타던 선배가 연락을 안해,0,normal,chatbot_data,
재회후 다시 이별,0,normal,chatbot_data,
미련인건가.? 바보인건가,0,normal,chatbot_data,
"""조카 유치원 운동회에서 잘 달리지 못하는 파트너와 3인 4각 달리기 경주에서 이기는 방법을 알아냈어요.",1,positive,kor_empathetic,impressed
저는 여자를 만나러 가는 것이 긴장되었습니다. 소개팅이었어요,2,vulnerable,kor_empathetic,apprehensive
지난주에 고양이가 죽었어요,2,vulnerable,kor_empathetic,devastated
혼자 여행 왔어,0,normal,chatbot_data,
"정말이야. 저번에는 내가 물건을 2개 샀는데, 한 개만 온 거야. 그래서 고객센터에 문의했더니 박스 사진을 찍어달라고 하고, 운송장을 찍어 보내달라고 하더라고. 판매자의 실수인데 나를 의심하고 사과도 안해서 기분이 정말 안 좋았어.",0,normal,nlpbada_persona,
또 살찐 거 같아,0,normal,chatbot_data,
저는 구급대원으로 일하면서 환자 한 명 한 명에게 할머니처럼 다가가려고 노력합니다.,1,positive,kor_empathetic,caring
운전면허 시험 준비가 너무 잘 된 것 같아요. 합격할 거라고 확신합니다.,1,positive,kor_empathetic,confident
그런곳이 맛집이 많지. 군대 근처에도 맛집이 있다는 걸 알아?,0,normal,nlpbada_persona,
누들로드 또 뭐야 ㅋㅋ 갑자기 면요리 추천이야?,0,normal,gf_persona_user,
저거는 벗고 탈거냐? 자전거복 산다고 하면 또 지랄할꺼면서.. 내가 알아서 할 테니까 그냥 조용히 있어 넌,3,manipulation,eoh9_gaslighting,
나 좋아하는 애가 매일 선톡 걸다가 갑자기 톡을 안함.,0,normal,chatbot_data,
"영화도 재미있었을 것 같지만, 이전에 했던 약속을 지키고 그 친구에게 충실한 것이 훨씬 더 좋았다고 생각해요.",1,positive,kor_empathetic,faithful
의사가 무슨 말을 하는지 정말 잘 알고 있다고 생각했습니다. 결국 그는 의사입니다.,1,positive,kor_empathetic,trusting
친구가 지난 주말 호수를 가로지르는 수영 경기에 20달러를 걸었습니다. 저는 제가 수영을 더 잘한다고 확신하기 때문에 승낙했습니다!,1,positive,kor_empathetic,confident
다음 달에 친구들과 크루즈를 탈 예정이에요.,1,positive,kor_empathetic,excited
제 인생에서 재정적으로 어려움을 겪었던 때가 있었습니다.,1,positive,kor_empathetic,grateful
작년에 제 동생이 독립기념일에 연설을 했어요.,1,positive,kor_empathetic,impressed
주말 동안 친구가 제 곁에 있어줄 거라는 걸 알았어요. 필요했어요,1,positive,kor_empathetic,trusting
스우파가 짱이었지. 스맨파도 심심할 때 보기에는 재밌을 것 같아.,0,normal,nlpbada_persona,
일요일에 콘서트에 가는데 너무 기대돼요.,1,positive,kor_empathetic,excited
제 아내는 제 인생에서 가장 위대한 사람입니다.,1,positive,kor_empathetic,grateful
오늘 복권에 당첨되어 직장을 그만두고 싶어요!,1,positive,kor_empathetic,hopeful
오늘 TV에 나오는 모든 축구가 기대됩니다.,1,positive,kor_empathetic,anticipating
그래서 어제 저는 도시 공원에서 자전거를 타러 갔습니다. 날씨가 완벽했어요!,1,positive,kor_empathetic,content
항상 무언가를 필요로 하거나 어딘가에 있는 것 같은 세 자녀 때문에 저도 많은 일을 할 수 없습니다.,1,positive,kor_empathetic,grateful
이번 주말에 코스트코 10달러짜리 라지 피자 사줄게요,1,positive,kor_empathetic,excited
어제 좋은 일이 있었어요,1,positive,kor_empathetic,sentimental
선배님도 이런 이야기도하고싶은건 이해가요 안그래도 전 해야할 게 빚더미인데 이러면 선배랑 같이 유지하는 이유가 있을까요,3,manipulation,eoh9_gaslighting,
너 다이어트 했다며 왜 또 먹는다는거야 정신차려,3,manipulation,eoh9_gaslighting,
나는 언니가 필요해. 언니랑은 사이가 좋아?,0,normal,nlpbada_persona,
아니 난 나중에 보자고 한 거였잖아 너가 다 이해한거라니까.,3,manipulation,eoh9_gaslighting,
결혼식 날 조금 긴장했었죠.,2,vulnerable,kor_empathetic,apprehensive
썸 타다 지쳤어,0,normal,chatbot_data,
"응, 최근에 그런 것들 많이 생기고 있지. 아마 개도국들의 경제적 부담을 줄이면서 환경을 보호하려는 노력 중 하나인 것 같아.",0,normal,gf_persona_user,
어제 할머니한테서 100달러를 훔쳤어요.,2,vulnerable,kor_empathetic,guilty
아버지와 사이가 틀어진 후 몇 년 만에 처음으로 만날 계획이었어요. 주말에 만나기로 잠정적으로 약속을 잡았는데 벌써 취소하셨어요.,2,vulnerable,kor_empathetic,devastated
우와! 그러면 우리 아예 인터파크에서 다 예약할 수 있겠다. 제주도 간다!,0,normal,gf_persona_user,
"제 반려견은 제 가장 친한 친구였는데, 이제 세상을 떠났고 저는 고립감을 느낍니다.",2,vulnerable,kor_empathetic,lonely
"아, 그래? 그래도 왠지 사자가 튀어나올 것 같은 느낌이야. 내일은 주말인데 지금 뭐해?",0,normal,nlpbada_persona,
"아버지 결혼식에서 신랑 들러리 연설을 할 때, 저는 제가 잘해서 모두를 웃게 해줄 거라는 걸 알았어요.",1,positive,kor_empathetic,confident
남편이 주말에 여행을 떠납니다.,2,vulnerable,kor_empathetic,lonely
그래서 지난주에 부모님을 방문했을 때 제가 다녔던 고등학교를 지나쳤어요. 좋은 추억이 많이 떠올랐어요.,1,positive,kor_empathetic,nostalgic
제 아들이 어제 철자 맞추기 대회에서 우승했습니다. 정말 자랑스러웠어요!,1,positive,kor_empathetic,proud
장거리 썸 괜찮을까,0,normal,chatbot_data,
자동차 사고에 대비할 수 있는 좋은 보험이 있어서 정말 다행입니다.,1,positive,kor_empathetic,grateful
내일까지 기다릴 수 없어요! 제가 제일 좋아하는 놀이공원에 갈 거예요!,1,positive,kor_empathetic,anticipating
숲 속을 걷고 있었어요,2,vulnerable,kor_empathetic,terrified
새 개가 생겼어요!,1,positive,kor_empathetic,excited
친구로부터 생일 선물로 커다란 곰인형을 약속받았습니다. 곰인형을 기대했지만 받지 못했습니다.,2,vulnerable,kor_empathetic,disappointed
"맞아, 운동하면서 새로운 사람들도 만나는 거 좋지.",0,normal,gf_persona_user,
"대학교에서 학생들의 입주식을 생중계하고 있는데, 대학 시절 유학 시절이 떠오르네요.",1,positive,kor_empathetic,nostalgic
오늘 아침에 아들이 아무 문제 없이 버스에 올라타서 정말 자랑스러웠어요.,1,positive,kor_empathetic,proud
그런 점에서 너가 하는 일은 대단하다. 너도 젊은 소녀들에게 좋은 롤 모델이 될 수 있을 것 같아.,0,normal,gf_persona_user,
제 동생이 고등학교를 졸업해서 정말 자랑스러웠어요!,1,positive,kor_empathetic,proud
몇 달 전까지만 해도 여자친구가 있었는데 항상 정직하고 친절해서 그녀를 신뢰하고 아끼게 되었어요. 일이 잘 풀리지는 않았지만 괜찮아요.,1,positive,kor_empathetic,trusting
4주 동안 가족을 만나러 갔어요. 이제 집에 돌아와서 외로움을 느낍니다.,2,vulnerable,kor_empathetic,lonely
가족 중 아픈 사람이 없어서 너무 행복하다.,1,positive,kor_empathetic,grateful
길고양이를 발견하고 집으로 데려왔어요. 아팠던 고양이를 간호해 건강을 되찾아 주었죠.,1,positive,kor_empathetic,caring
답하기 싫은가봐,0,normal,chatbot_data,
꼭 빨리 나았으면 좋겠다. 건강이 최고야. 빨리 쾌차하길 빌게.,0,normal,nlpbada_persona,
어제 길을 걷는 광대를 봤어요. 그가 저를 쫓는다고 생각해서 너무 무서웠어요.,2,vulnerable,kor_empathetic,terrified
금요일에 급여를 빨리 받고 싶어요!,1,positive,kor_empathetic,anticipating
요즘 저는 너무 고립되고 외롭다고 느낍니다. 딸이 집을 나가서 요즘은 저뿐입니다.,2,vulnerable,kor_empathetic,lonely
저번에 리랑 있었던 일 말했었나요? 내가 멍청한 것 같아,2,vulnerable,kor_empathetic,guilty
PS4가 처음 출시되었을 때가 기억납니다. 제가 처음으로 주문한 게임 콘솔이었고 배송을 정말 고대했었죠.,1,positive,kor_empathetic,anticipating
매니저에게 너무 화가 났어요. 뉴욕 출장에 같이 갈 줄 알았는데 혼자 갔어요. 전에는 그를 높이 평가했습니다.,2,vulnerable,kor_empathetic,disappointed
맞아. 그리고 나는 편수가 많지 않은게 좋더라. 그렇지 않아?,0,normal,nlpbada_persona,
몇 년 전 아버지가 돌아가셨을 때 저는 많이 방황했습니다. 그때는 정말 무서웠어요,2,vulnerable,kor_empathetic,afraid
어렸을 때 저는 사회 불안증이 있었어요. 연설은 저에게 끔찍한 불안을 안겨주었습니다.,2,vulnerable,kor_empathetic,anxious
한 번도 당신을 실망시킨 적이 없는 사람이 있나요?,1,positive,kor_empathetic,proud
아무 것도 할 수 없는,0,normal,chatbot_data,
"다행히 봉사 동아리가 있었어. 고아원 위주로 봉사하는 동아리인데, 여기에 입부 신청서를 제출할 생각이야.",0,normal,nlpbada_persona,
휴지 사야지,0,normal,chatbot_data,
특급 배송을 신청했는데 배송 조회가 모두 잘못되어 스트레스를 많이 받고 있습니다.,2,vulnerable,kor_empathetic,anxious
오늘 아침 비디오 게임에서의 제 퍼포먼스에 만족합니다. 좀 더 인내심이 생기기 시작했습니다.,1,positive,kor_empathetic,proud
친구 사이로도 못 지낼 것 같아.,0,normal,chatbot_data,
새 집에 만족합니다,1,positive,kor_empathetic,content
이 피자를 만드는 데 한 시간을 보냈습니다. 이제 구워지기를 기다리는 중입니다.,1,positive,kor_empathetic,confident
제 시간에 퇴근하지 못하면 행복하지 않습니다.,2,vulnerable,kor_empathetic,sad
어제 제가 아는 사람이 그 사람에 대한 저의 작은 신뢰를 망쳐서 정말 슬펐습니다.,2,vulnerable,kor_empathetic,sad
새로운 가족이 생겼습니다!,1,positive,kor_empathetic,caring
"동생이 크면 스카이 다이빙을 같이 가자고 약속했는데, 동생이 기억하지 못할 것 같아서요. 저는 고소공포증이 심해요.",2,vulnerable,kor_empathetic,terrified
시험을 위해 정말 열심히 공부했고 합격할 거라고 확신했습니다.,1,positive,kor_empathetic,confident
이길이 내길인가,0,normal,chatbot_data,
내가 다른 사람이랑 밤새 통화하든 뭔 상관이야? 너한테 이미 정떨어졌으니까 상관없다는거지,3,manipulation,eoh9_gaslighting,
안녕하세요 저는 스케이트 공원에 갔어요.,1,positive,kor_empathetic,impressed
알았어! 그때까지 우리 더 많은 것들 공유하자.,0,normal,gf_persona_user,
지하실을 청소하고 있는데 거대한 쥐가 튀어나왔어요. 거의 죽을 뻔했어요!,2,vulnerable,kor_empathetic,afraid
새 직장이 생겼다는 소식을 들었을 때 정말 기뻤습니다.,1,positive,kor_empathetic,joyful
최근에 하루에 2 마일을 달렸다고 말했는데 얼마 전에는 3 마일로 늘렸는데 정말 기분이 좋았습니다.,1,positive,kor_empathetic,proud
제 딸은 취미로 말을 타는데 몇 주 전에 처음으로 마장마술 쇼에 참가했습니다.,1,positive,kor_empathetic,proud
다음 주에 시험을 치러야 하지만 준비가 잘 되어 있기 때문에 문제없이 통과할 수 있을 것 같습니다.,1,positive,kor_empathetic,confident
얼마 전에 샌 안토니오에 갔는데 정말 멋진 도시였어요.,1,positive,kor_empathetic,joyful
몇 주 전 주말에 이사를 했어요. 주말에 모든 것을 끝내거나 최소한 이사를 할 계획이었어요.,1,positive,kor_empathetic,hopeful
남편과 저는 결혼한 지 22년이 되었습니다.,1,positive,kor_empathetic,content
"맞아, 이제는 혼자 사는 게 뭔가 부정적이지 않고 오히려 긍정적인 이미지로 바뀌었지.",0,normal,gf_persona_user,
나는 사교적이라 그런 느낌은 공감이 어려워.,0,normal,nlpbada_persona,
집이 너무 지저분해,0,normal,chatbot_data,
서핑을 하러 도착하기 위해 2시간을 차 안에서 보냈는데 파도가 보이지 않았다니 믿을 수가 없네요.,2,vulnerable,kor_empathetic,disappointed
기다리는게 힘든거네,0,normal,chatbot_data,
이별후.,0,normal,chatbot_data,
이틀 후에 대학을 시작하는데 새로운 선생님들과 함께 공부하게 될 텐데 어떤 선생님들이 될지 몰라서 스트레스를 많이 받아요.,2,vulnerable,kor_empathetic,anxious
남편과 저는 방금 결혼 9주년을 맞았습니다.,1,positive,kor_empathetic,sentimental
어렸을 때 가게에서 사탕을 훔쳤어요. 지금도 그때가 생각나요.,2,vulnerable,kor_empathetic,guilty
좋아하는 음식이나 간식이 있어? 나는 순대국을 좋아해서 점심으로 먹었어.,0,normal,nlpbada_persona,
이사하고 싶어요! 긍정적인 결과를 기대하며 오퍼를 제출하세요.,1,positive,kor_empathetic,hopeful
